# Official Java 1.20.1 EntityType dimensions; id	width	height	pickable	name
0	0.35	0.6	1	allay
1	6.0	0.5	0	area_effect_cloud
2	0.5	1.975	1	armor_stand
3	0.5	0.5	0	arrow
4	0.75	0.42	1	axolotl
5	0.5	0.9	1	bat
6	0.7	0.6	1	bee
7	0.6	1.8	1	blaze
8	0.0	0.0	0	block_display
9	1.375	0.5625	1	boat
10	1.7	2.375	1	camel
11	0.6	0.7	1	cat
12	0.7	0.5	1	cave_spider
13	1.375	0.5625	1	chest_boat
14	0.98	0.7	1	chest_minecart
15	0.4	0.7	1	chicken
16	0.5	0.3	1	cod
17	0.98	0.7	1	command_block_minecart
18	0.9	1.4	1	cow
19	0.6	1.7	1	creeper
20	0.9	0.6	1	dolphin
21	1.3964844	1.5	1	donkey
22	1.0	1.0	0	dragon_fireball
23	0.6	1.95	1	drowned
24	0.25	0.25	0	egg
25	1.9975	1.9975	1	elder_guardian
26	2.0	2.0	1	end_crystal
27	16.0	8.0	1	ender_dragon
28	0.25	0.25	0	ender_pearl
29	0.6	2.9	1	enderman
30	0.4	0.3	1	endermite
31	0.6	1.95	1	evoker
32	0.5	0.8	0	evoker_fangs
33	0.25	0.25	0	experience_bottle
34	0.5	0.5	0	experience_orb
35	0.25	0.25	0	eye_of_ender
36	0.98	0.98	0	falling_block
37	0.25	0.25	0	firework_rocket
38	0.6	0.7	1	fox
39	0.5	0.5	1	frog
40	0.98	0.7	1	furnace_minecart
41	4.0	4.0	1	ghast
42	3.6	12.0	1	giant
43	0.5	0.5	1	glow_item_frame
44	0.8	0.8	1	glow_squid
45	0.9	1.3	1	goat
46	0.85	0.85	1	guardian
47	1.3964844	1.4	1	hoglin
48	0.98	0.7	1	hopper_minecart
49	1.3964844	1.6	1	horse
50	0.6	1.95	1	husk
51	0.6	1.95	1	illusioner
52	0.0	0.0	1	interaction
53	1.4	2.7	0	iron_golem
54	0.25	0.25	0	item
55	0.0	0.0	0	item_display
56	0.5	0.5	1	item_frame
57	1.0	1.0	1	fireball
58	0.375	0.5	0	leash_knot
59	0.0	0.0	0	lightning_bolt
60	0.9	1.87	1	llama
61	0.25	0.25	0	llama_spit
62	2.04	2.04	1	magma_cube
63	0.0	0.0	0	marker
64	0.98	0.7	1	minecart
65	0.9	1.4	1	mooshroom
66	1.3964844	1.6	1	mule
67	0.6	0.7	1	ocelot
68	0.5	0.5	1	painting
69	1.3	1.25	1	panda
70	0.5	0.9	1	parrot
71	0.9	0.5	1	phantom
72	0.9	0.9	1	pig
73	0.6	1.95	1	piglin
74	0.6	1.95	1	piglin_brute
75	0.6	1.95	1	pillager
76	1.4	1.4	1	polar_bear
77	0.25	0.25	0	potion
78	0.7	0.7	1	pufferfish
79	0.4	0.5	1	rabbit
80	1.95	2.2	1	ravager
81	0.7	0.4	1	salmon
82	0.9	1.3	1	sheep
83	1.0	1.0	1	shulker
84	0.3125	0.3125	1	shulker_bullet
85	0.4	0.3	1	silverfish
86	0.6	1.99	1	skeleton
87	1.3964844	1.6	1	skeleton_horse
88	2.04	2.04	1	slime
89	0.3125	0.3125	0	small_fireball
90	1.9	1.75	1	sniffer
91	0.7	1.9	0	snow_golem
92	0.25	0.25	0	snowball
93	0.98	0.7	1	spawner_minecart
94	0.5	0.5	0	spectral_arrow
95	1.4	0.9	1	spider
96	0.8	0.8	1	squid
97	0.6	1.99	1	stray
98	0.9	1.7	1	strider
99	0.4	0.3	1	tadpole
100	0.0	0.0	0	text_display
101	0.98	0.98	0	tnt
102	0.98	0.7	1	tnt_minecart
103	0.9	1.87	1	trader_llama
104	0.5	0.5	0	trident
105	0.5	0.4	1	tropical_fish
106	1.2	0.4	1	turtle
107	0.4	0.8	1	vex
108	0.6	1.95	0	villager
109	0.6	1.95	1	vindicator
110	0.6	1.95	1	wandering_trader
111	0.9	2.9	1	warden
112	0.6	1.95	1	witch
113	0.9	3.5	1	wither
114	0.7	2.4	1	wither_skeleton
115	0.3125	0.3125	0	wither_skull
116	0.6	0.85	1	wolf
117	1.3964844	1.4	1	zoglin
118	0.6	1.95	1	zombie
119	1.3964844	1.6	1	zombie_horse
120	0.6	1.95	1	zombie_villager
121	0.6	1.95	1	zombified_piglin
122	0.6	1.8	1	player
123	0.25	0.25	0	fishing_bobber
