allay_spawn_egg	00daff	00adff
axolotl_spawn_egg	fbc1e3	a62d74
bat_spawn_egg	4c3e30	0f0f0f
bee_spawn_egg	edc343	43241b
blaze_spawn_egg	f6b201	fff87e
cat_spawn_egg	efc88e	957256
camel_spawn_egg	fcc369	cb9337
cave_spider_spawn_egg	0c424e	a80e0e
chicken_spawn_egg	a1a1a1	ff0000
cod_spawn_egg	c1a76a	e5c48b
cow_spawn_egg	443626	a1a1a1
creeper_spawn_egg	0da70b	000000
dolphin_spawn_egg	223b4d	f9f9f9
donkey_spawn_egg	534539	867566
drowned_spawn_egg	8ff1d7	799c65
elder_guardian_spawn_egg	ceccba	747693
ender_dragon_spawn_egg	1c1c1c	e079fa
enderman_spawn_egg	161616	000000
endermite_spawn_egg	161616	6e6e6e
evoker_spawn_egg	959b9b	1e1c1a
fox_spawn_egg	d5b69f	cc6920
frog_spawn_egg	d07444	ffc77c
ghast_spawn_egg	f9f9f9	bcbcbc
glow_squid_spawn_egg	095656	85f1bc
goat_spawn_egg	a5947c	55493e
guardian_spawn_egg	5a8272	f17d30
hoglin_spawn_egg	c66e55	5f6464
horse_spawn_egg	c09e7d	eee500
husk_spawn_egg	797061	e6cc94
iron_golem_spawn_egg	dbcdc2	74a332
llama_spawn_egg	c09e7d	995f40
magma_cube_spawn_egg	340000	fcfc00
mooshroom_spawn_egg	a00f10	b7b7b7
mule_spawn_egg	1b0200	51331d
ocelot_spawn_egg	efde7d	564434
panda_spawn_egg	e7e7e7	1b1b22
parrot_spawn_egg	0da70b	ff0000
phantom_spawn_egg	43518a	88ff00
pig_spawn_egg	f0a5a2	db635f
piglin_spawn_egg	995f40	f9f3a4
piglin_brute_spawn_egg	592a10	f9f3a4
pillager_spawn_egg	532f36	959b9b
polar_bear_spawn_egg	eeeede	d5d6cd
pufferfish_spawn_egg	f6b201	37c3f2
rabbit_spawn_egg	995f40	734831
ravager_spawn_egg	757470	5b5049
salmon_spawn_egg	a00f10	0e8474
sheep_spawn_egg	e7e7e7	ffb5b5
shulker_spawn_egg	946794	4d3852
silverfish_spawn_egg	6e6e6e	303030
skeleton_spawn_egg	c1c1c1	494949
skeleton_horse_spawn_egg	68684f	e5e5d8
slime_spawn_egg	51a03e	7ebf6e
sniffer_spawn_egg	871e09	25ab70
snow_golem_spawn_egg	d9f2f2	81a4a4
spider_spawn_egg	342d27	a80e0e
squid_spawn_egg	223b4d	708899
stray_spawn_egg	617677	ddeaea
strider_spawn_egg	9c3436	4d494d
tadpole_spawn_egg	6d533d	160a00
trader_llama_spawn_egg	eaa430	456296
tropical_fish_spawn_egg	ef6915	fff9ef
turtle_spawn_egg	e7e7e7	00afaf
vex_spawn_egg	7a90a4	e8edf1
villager_spawn_egg	563c33	bd8b72
vindicator_spawn_egg	959b9b	275e61
wandering_trader_spawn_egg	456296	eaa430
warden_spawn_egg	0f4649	39d6e0
witch_spawn_egg	340000	51a03e
wither_spawn_egg	141414	4d72a0
wither_skeleton_spawn_egg	141414	474d4d
wolf_spawn_egg	d7d3d3	ceaf96
zoglin_spawn_egg	c66e55	e6e6e6
zombie_spawn_egg	00afaf	799c65
zombie_horse_spawn_egg	315234	97c284
zombie_villager_spawn_egg	563c33	799c65
zombified_piglin_spawn_egg	ea9393	4c7129
